model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,27,0.0575997521189224,0.426057422514852,0.3684576703959296,0.3194723671171858,0.4187601881494447,1.313428234601644e-28,1.219041163241259,late,0.84375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,28,0.0623983075461202,0.4357934316496565,0.3733951241035363,0.3224771296514291,0.4259232359533426,3.554369561298019e-29,1.2386663899230792,late,0.875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,29,0.0636640341887616,0.439032663737298,0.3753686295485364,0.3260342590035582,0.4304501949600769,9.519823644101223e-29,1.2238674545097084,late,0.90625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,30,0.0654129654326289,0.4778879206615934,0.4124749552289645,0.3594762993977143,0.4642630781336667,3.724221418161362e-31,1.307683079500263,late,0.9375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,31,0.067448008774779,0.4978193743340244,0.4303713655592454,0.3721647649164341,0.4902946335051505,2.669921174614396e-29,1.2429717579932784,late,0.96875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,32,0.0771343480569153,0.4793381041252711,0.4022037560683559,0.3512205828138962,0.4566759193097368,1.7279588345440978e-30,1.2843428320467802,late,1.0
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,0,0.1958024508251238,0.6550882529674704,0.4592858021423465,0.3827107684780757,0.5287848549632373,1.944541750747953e-24,1.0765831635378598,early,0.0
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,1,0.1808435229149793,0.6271419225929965,0.4462983996780171,0.380333836040868,0.5134383061048536,1.3339015325562104e-25,1.116080848819848,early,0.03571428571428571
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,2,0.1804289463321691,0.61043948652568,0.430010540193511,0.3564613002755224,0.4995910152699108,6.217136849257327e-23,1.0256925295604435,early,0.07142857142857142
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,3,0.1985854448141086,0.6138813477377727,0.415295902923664,0.3371217608589216,0.4905719097447122,6.446982892417877e-20,0.9238915097223998,early,0.10714285714285714
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,4,0.1605927495430585,0.5950584532514336,0.434465703708375,0.3569551152523504,0.5040002349288448,6.10676491855715e-22,0.9922012204051468,early,0.14285714285714285
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,5,0.133604686934757,0.5496402142234555,0.4160355272886985,0.3387614756766211,0.4888784943538083,7.798952033067292e-20,0.9210965798276328,early,0.17857142857142858
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,6,0.1351079322169702,0.5455188289477316,0.4104108967307613,0.3245644504204462,0.4924270134837178,3.050418738597556e-18,0.8671336444059144,early,0.21428571428571427
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,7,0.1160072361383239,0.5194608770453099,0.4034536409069858,0.3328244047678739,0.4730638270356031,1.8836775373913406e-20,0.9419439381858932,early,0.25
google/gemma-7b-it,Gemma 7B IT,results_cross_model/gemma_indirect_only/google_gemma-7b-it__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,8,0.107549980665364,0.4922806380219928,0.3847306573566287,0.3176417926407557,0.4542991509530579,2.047546805259293e-21,0.9744730152439084,early,0.2857142857142857
